SI. No,Company Name/CTC IN LPA/Date of drive,EC,CS,IS,EI,EE,MECH,AUTO,IP,CIVIL,Total
1,Technologics Global/Training/13th Jun 22,0,01,0,0,01,01,0,0,0,03
2,Mercedes Benz/10.0/5th July 22,01,09,02,0,02,0,14,0,0,0
3,Global Quest/Training/23rd June 22,02,07,03,0,05,02,0,0,01,20
4,Sasken/5.0/4th July 22,06,08,01,0,0,15,0,0,0,0
5,Saankhya Labs Pvt Ltd/6.5/11th July 22,01,03,01,0,01,06,0,0,0,0
6,Torry Harris/5.0/11th Aug 22,0,0,0,0,0,0,00,0,0,0
7,Happiestminds/4.5/17th Aug 22,09,19,0,0,28,0,0,0,0,0
8,Samsung/17.0/1st Sept 22,02,0,0,02,0,0,0,0,0,0
9,Botloka Pvt Ltd./3.5/22nd Sept 22,0,01,0,01,02,0,0,0,0,0
10,TCS/3.0/7th Oct 22,04,14,03,0,01,06,0,01,0,29

